S&P500_unscaled,S&P500_monthly,scale,S&P500
51,36.0,0.36,18.36
52,36.0,0.36,18.72
51,36.0,0.36,18.36
45,28.0,0.28,12.600000000000001
54,28.0,0.28,15.120000000000001
41,28.0,0.28,11.48
90,28.0,0.28,25.200000000000003
36,28.0,0.28,10.080000000000002
100,28.0,0.28,28.000000000000004
86,28.0,0.28,24.080000000000002
38,28.0,0.28,10.64
32,28.0,0.28,8.96
50,28.0,0.28,14.000000000000002
64,28.0,0.28,17.92
76,28.0,0.28,21.28
59,28.0,0.28,16.520000000000003
56,28.0,0.28,15.680000000000001
32,28.0,0.28,8.96
16,28.0,0.28,4.48
40,28.0,0.28,11.200000000000001
68,28.0,0.28,19.040000000000003
37,28.0,0.28,10.360000000000001
87,28.0,0.28,24.360000000000003
66,28.0,0.28,18.48
21,28.0,0.28,5.880000000000001
52,28.0,0.28,14.560000000000002
58,28.0,0.28,16.240000000000002
80,28.0,0.28,22.400000000000002
82,28.0,0.28,22.96
52,28.0,0.28,14.560000000000002
29,28.0,0.28,8.120000000000001
32,28.0,0.28,8.96
21,28.0,0.28,5.880000000000001
37,27.0,0.27,9.99
51,27.0,0.27,13.770000000000001
85,27.0,0.27,22.950000000000003
43,27.0,0.27,11.610000000000001
60,27.0,0.27,16.200000000000003
45,27.0,0.27,12.15
22,27.0,0.27,5.94
76,27.0,0.27,20.520000000000003
38,27.0,0.27,10.260000000000002
76,27.0,0.27,20.520000000000003
67,27.0,0.27,18.09
65,27.0,0.27,17.55
29,27.0,0.27,7.83
45,27.0,0.27,12.15
71,27.0,0.27,19.17
100,27.0,0.27,27.0
63,27.0,0.27,17.01
69,27.0,0.27,18.630000000000003
57,27.0,0.27,15.39
59,27.0,0.27,15.930000000000001
17,27.0,0.27,4.59
65,27.0,0.27,17.55
100,27.0,0.27,27.0
41,27.0,0.27,11.07
13,27.0,0.27,3.5100000000000002
39,27.0,0.27,10.530000000000001
29,27.0,0.27,7.83
46,27.0,0.27,12.420000000000002
46,27.0,0.27,12.420000000000002
62,27.0,0.27,16.740000000000002
40,27.0,0.27,10.8
47,29.0,0.29,13.629999999999999
65,29.0,0.29,18.849999999999998
19,29.0,0.29,5.51
29,29.0,0.29,8.41
95,29.0,0.29,27.549999999999997
78,29.0,0.29,22.619999999999997
79,29.0,0.29,22.91
97,29.0,0.29,28.13
100,29.0,0.29,28.999999999999996
33,29.0,0.29,9.569999999999999
44,29.0,0.29,12.76
64,29.0,0.29,18.56
84,29.0,0.29,24.36
81,29.0,0.29,23.49
89,29.0,0.29,25.81
55,29.0,0.29,15.95
42,29.0,0.29,12.18
37,29.0,0.29,10.729999999999999
46,29.0,0.29,13.34
74,29.0,0.29,21.459999999999997
91,29.0,0.29,26.389999999999997
74,29.0,0.29,21.459999999999997
81,29.0,0.29,23.49
25,29.0,0.29,7.249999999999999
25,29.0,0.29,7.249999999999999
80,29.0,0.29,23.2
66,29.0,0.29,19.139999999999997
84,29.0,0.29,24.36
85,29.0,0.29,24.65
65,29.0,0.29,18.849999999999998
25,29.0,0.29,7.249999999999999
35,25.0,0.25,8.75
79,25.0,0.25,19.75
69,25.0,0.25,17.25
100,25.0,0.25,25.0
65,25.0,0.25,16.25
95,25.0,0.25,23.75
47,25.0,0.25,11.75
23,25.0,0.25,5.75
75,25.0,0.25,18.75
45,25.0,0.25,11.25
69,25.0,0.25,17.25
56,25.0,0.25,14.0
84,25.0,0.25,21.0
42,25.0,0.25,10.5
48,25.0,0.25,12.0
37,25.0,0.25,9.25
62,25.0,0.25,15.5
46,25.0,0.25,11.5
46,25.0,0.25,11.5
94,25.0,0.25,23.5
24,25.0,0.25,6.0
47,25.0,0.25,11.75
54,25.0,0.25,13.5
79,25.0,0.25,19.75
74,25.0,0.25,18.5
50,25.0,0.25,12.5
41,25.0,0.25,10.25
34,25.0,0.25,8.5
37,25.0,0.25,9.25
67,25.0,0.25,16.75
95,25.0,0.25,23.75
99,25.0,0.25,24.75
80,25.0,0.25,20.0
76,25.0,0.25,19.0
38,25.0,0.25,9.5
28,25.0,0.25,7.0
71,25.0,0.25,17.75
59,25.0,0.25,14.75
80,25.0,0.25,20.0
65,25.0,0.25,16.25
50,25.0,0.25,12.5
42,25.0,0.25,10.5
37,25.0,0.25,9.25
75,25.0,0.25,18.75
84,25.0,0.25,21.0
100,25.0,0.25,25.0
83,25.0,0.25,20.75
65,25.0,0.25,16.25
57,25.0,0.25,14.25
77,25.0,0.25,19.25
99,25.0,0.25,24.75
99,25.0,0.25,24.75
76,25.0,0.25,19.0
60,25.0,0.25,15.0
63,25.0,0.25,15.75
30,25.0,0.25,7.5
24,25.0,0.25,6.0
95,25.0,0.25,23.75
52,25.0,0.25,13.0
81,27.0,0.27,21.87
54,27.0,0.27,14.580000000000002
58,27.0,0.27,15.66
42,27.0,0.27,11.34
32,27.0,0.27,8.64
62,27.0,0.27,16.740000000000002
72,27.0,0.27,19.44
65,27.0,0.27,17.55
69,27.0,0.27,18.630000000000003
80,27.0,0.27,21.6
33,27.0,0.27,8.91
24,27.0,0.27,6.48
95,27.0,0.27,25.650000000000002
64,27.0,0.27,17.28
59,27.0,0.27,15.930000000000001
55,27.0,0.27,14.850000000000001
100,27.0,0.27,27.0
24,27.0,0.27,6.48
18,27.0,0.27,4.86
71,27.0,0.27,19.17
83,27.0,0.27,22.41
58,27.0,0.27,15.66
56,27.0,0.27,15.120000000000001
39,27.0,0.27,10.530000000000001
48,27.0,0.27,12.96
28,27.0,0.27,7.5600000000000005
68,27.0,0.27,18.36
81,27.0,0.27,21.87
51,27.0,0.27,13.770000000000001
67,27.0,0.27,18.09
85,22.0,0.22,18.7
27,22.0,0.22,5.94
40,22.0,0.22,8.8
60,22.0,0.22,13.2
56,22.0,0.22,12.32
48,22.0,0.22,10.56
