S&P500_unscaled,S&P500_monthly,scale,S&P500
13,20.0,0.2,2.6
20,20.0,0.2,4.0
33,20.0,0.2,6.6000000000000005
41,20.0,0.2,8.200000000000001
42,20.0,0.2,8.4
38,20.0,0.2,7.6000000000000005
40,20.0,0.2,8.0
39,20.0,0.2,7.800000000000001
23,20.0,0.2,4.6000000000000005
68,20.0,0.2,13.600000000000001
67,20.0,0.2,13.4
31,20.0,0.2,6.2
19,20.0,0.2,3.8000000000000003
73,20.0,0.2,14.600000000000001
32,20.0,0.2,6.4
63,20.0,0.2,12.600000000000001
89,20.0,0.2,17.8
83,20.0,0.2,16.6
31,20.0,0.2,6.2
51,20.0,0.2,10.200000000000001
52,20.0,0.2,10.4
15,20.0,0.2,3.0
38,20.0,0.2,7.6000000000000005
43,20.0,0.2,8.6
25,20.0,0.2,5.0
51,20.0,0.2,10.200000000000001
77,20.0,0.2,15.4
27,20.0,0.2,5.4
79,20.0,0.2,15.8
23,20.0,0.2,4.6000000000000005
44,20.0,0.2,8.8
44,20.0,0.2,8.8
100,20.0,0.2,20.0
76,20.0,0.2,15.200000000000001
60,20.0,0.2,12.0
31,20.0,0.2,6.2
23,20.0,0.2,4.6000000000000005
38,20.0,0.2,7.6000000000000005
72,21.0,0.21,15.12
65,21.0,0.21,13.65
52,21.0,0.21,10.92
24,21.0,0.21,5.04
27,21.0,0.21,5.67
26,21.0,0.21,5.46
64,21.0,0.21,13.44
78,21.0,0.21,16.38
51,21.0,0.21,10.709999999999999
80,21.0,0.21,16.8
75,21.0,0.21,15.75
34,21.0,0.21,7.14
43,21.0,0.21,9.03
58,21.0,0.21,12.18
100,21.0,0.21,21.0
52,21.0,0.21,10.92
81,21.0,0.21,17.009999999999998
45,21.0,0.21,9.45
44,21.0,0.21,9.24
53,21.0,0.21,11.129999999999999
64,21.0,0.21,13.44
57,21.0,0.21,11.969999999999999
81,21.0,0.21,17.009999999999998
81,21.0,0.21,17.009999999999998
54,21.0,0.21,11.34
45,21.0,0.21,9.45
53,21.0,0.21,11.129999999999999
44,21.0,0.21,9.24
58,21.0,0.21,12.18
59,21.0,0.21,12.389999999999999
88,21.0,0.21,18.48
100,23.0,0.23,23.0
14,23.0,0.23,3.22
50,23.0,0.23,11.5
71,23.0,0.23,16.330000000000002
71,23.0,0.23,16.330000000000002
95,23.0,0.23,21.85
77,23.0,0.23,17.71
31,23.0,0.23,7.13
21,23.0,0.23,4.83
28,23.0,0.23,6.44
53,23.0,0.23,12.190000000000001
35,23.0,0.23,8.05
59,23.0,0.23,13.57
48,23.0,0.23,11.040000000000001
64,23.0,0.23,14.72
14,23.0,0.23,3.22
28,23.0,0.23,6.44
53,23.0,0.23,12.190000000000001
23,23.0,0.23,5.29
35,23.0,0.23,8.05
64,23.0,0.23,14.72
73,23.0,0.23,16.79
14,23.0,0.23,3.22
21,23.0,0.23,4.83
57,23.0,0.23,13.110000000000001
80,23.0,0.23,18.400000000000002
57,23.0,0.23,13.110000000000001
75,23.0,0.23,17.25
