buy S&P500_unscaled,buy S&P500_monthly,scale,buy S&P500
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
100,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
85,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
100,26.0,0.26,26.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
80,26.0,0.26,20.8
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
81,26.0,0.26,21.060000000000002
0,26.0,0.26,0.0
0,26.0,0.26,0.0
82,26.0,0.26,21.32
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,26.0,0.26,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
100,28.0,0.28,28.000000000000004
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
76,53.0,0.53,40.28
76,53.0,0.53,40.28
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
100,53.0,0.53,53.0
81,53.0,0.53,42.93
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
92,53.0,0.53,48.760000000000005
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
71,51.0,0.51,36.21
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
69,51.0,0.51,35.19
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
100,51.0,0.51,51.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
0,51.0,0.51,0.0
66,51.0,0.51,33.660000000000004
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
100,50.0,0.5,50.0
0,50.0,0.5,0.0
83,50.0,0.5,41.5
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
100,50.0,0.5,50.0
82,50.0,0.5,41.0
0,50.0,0.5,0.0
0,50.0,0.5,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
100,25.0,0.25,25.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
99,25.0,0.25,24.75
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
95,25.0,0.25,23.75
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
92,37.0,0.37,34.04
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
92,37.0,0.37,34.04
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
95,37.0,0.37,35.15
0,37.0,0.37,0.0
94,37.0,0.37,34.78
100,37.0,0.37,37.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
98,37.0,0.37,36.26
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,37.0,0.37,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
99,25.0,0.25,24.75
0,25.0,0.25,0.0
0,25.0,0.25,0.0
