us economy bad_unscaled,us economy bad_monthly,scale,us economy bad
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
51,21.0,0.21,10.709999999999999
0,21.0,0.21,0.0
0,21.0,0.21,0.0
42,21.0,0.21,8.82
89,21.0,0.21,18.689999999999998
46,21.0,0.21,9.66
45,21.0,0.21,9.45
0,21.0,0.21,0.0
50,21.0,0.21,10.5
0,21.0,0.21,0.0
0,21.0,0.21,0.0
87,21.0,0.21,18.27
44,21.0,0.21,9.24
0,21.0,0.21,0.0
0,21.0,0.21,0.0
49,21.0,0.21,10.29
0,21.0,0.21,0.0
44,21.0,0.21,9.24
0,21.0,0.21,0.0
52,56.0,0.56,29.120000000000005
0,56.0,0.56,0.0
0,56.0,0.56,0.0
0,56.0,0.56,0.0
0,56.0,0.56,0.0
51,56.0,0.56,28.560000000000002
0,56.0,0.56,0.0
0,56.0,0.56,0.0
53,56.0,0.56,29.680000000000003
58,56.0,0.56,32.480000000000004
0,56.0,0.56,0.0
0,56.0,0.56,0.0
0,56.0,0.56,0.0
48,56.0,0.56,26.880000000000003
52,56.0,0.56,29.120000000000005
53,56.0,0.56,29.680000000000003
0,56.0,0.56,0.0
58,56.0,0.56,32.480000000000004
0,56.0,0.56,0.0
49,56.0,0.56,27.44
0,56.0,0.56,0.0
100,56.0,0.56,56.00000000000001
52,56.0,0.56,29.120000000000005
57,56.0,0.56,31.92
0,56.0,0.56,0.0
50,56.0,0.56,28.000000000000004
0,56.0,0.56,0.0
49,56.0,0.56,27.44
0,56.0,0.56,0.0
75,56.0,0.56,42.00000000000001
55,56.0,0.56,30.800000000000004
59,45.0,0.45,26.55
54,45.0,0.45,24.3
0,45.0,0.45,0.0
0,45.0,0.45,0.0
51,45.0,0.45,22.95
51,45.0,0.45,22.95
57,45.0,0.45,25.650000000000002
58,45.0,0.45,26.1
100,45.0,0.45,45.0
0,45.0,0.45,0.0
75,45.0,0.45,33.75
52,45.0,0.45,23.400000000000002
52,45.0,0.45,23.400000000000002
59,45.0,0.45,26.55
57,45.0,0.45,25.650000000000002
49,45.0,0.45,22.05
0,45.0,0.45,0.0
99,45.0,0.45,44.550000000000004
0,45.0,0.45,0.0
52,45.0,0.45,23.400000000000002
59,45.0,0.45,26.55
56,45.0,0.45,25.2
49,45.0,0.45,22.05
49,45.0,0.45,22.05
48,45.0,0.45,21.6
100,45.0,0.45,45.0
